deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
37.25678873200013,1500.0,0.32243183299942757,-1940.0,1.6015326819997426,-3210.0,20.182552045000193,1600.0
77.64886374300113,1500.0,57.46663865099981,-1490.0,40.389567983000234,-1610.0,60.57961972200064,1600.0
118.04666065399942,1500.0,97.84851603800053,-1500.0,80.7934123970008,-1620.0,100.97091385100066,1600.0
158.43757725100113,1500.0,138.25026035300107,-1490.0,121.17995885300115,-1610.0,141.37325525599954,1610.0
198.84119885899963,1490.0,178.64182867599993,-1490.0,161.57104592399992,-1610.0,181.7549606020002,1600.0
239.23448439700041,1490.0,219.02553626600093,-1500.0,201.96405424600016,-1610.0,222.15843045200018,1610.0
279.62748368100074,1490.0,259.41969590699955,-1500.0,242.34861974600062,-1600.0,262.5526133940002,1610.0
320.0192644250001,1490.0,299.821409786,-1490.0,282.7502892550001,-1610.0,302.94512575000044,1610.0
360.3921778570002,1500.0,340.2019410030007,-1500.0,323.13255836499957,-1600.0,343.324223951,1600.0
,,380.5890663459995,-1500.0,363.5250959389996,-1610.0,383.71168267400026,1600.0
