time,x,theta,x_dot,theta_dot,input,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
13416,0.00,nan,0.00,-0.65,nan,25.00,0.00,0.00,1.00,0.00,0.00
13480,0.00,nan,0.00,-0.59,nan,25.00,0.00,0.00,1.00,0.00,0.00
13735,0.00,nan,0.00,1.28,nan,25.00,0.00,0.00,1.00,0.00,0.00
13799,0.00,nan,0.00,0.29,nan,25.00,0.00,0.00,1.00,0.00,0.00
14053,0.00,nan,0.00,-1.08,nan,25.00,0.00,0.00,1.00,0.00,0.00
14116,0.00,nan,0.00,-1.21,nan,25.00,0.00,0.00,1.00,0.00,0.00
14181,0.00,nan,0.00,-1.31,nan,25.00,0.00,0.00,1.00,0.00,0.00
14438,0.00,nan,0.00,-0.88,nan,25.00,0.00,0.00,1.00,0.00,0.00
14502,0.00,nan,0.00,-0.89,nan,25.00,0.00,0.00,1.00,0.00,0.00
14758,0.00,nan,0.00,-0.12,nan,25.00,0.00,0.00,1.00,0.00,0.00
14823,0.00,nan,0.00,1.50,nan,25.00,0.00,0.00,1.00,0.00,0.00
15078,0.00,nan,0.00,-0.91,nan,25.00,0.00,0.00,1.00,0.00,0.00
15142,0.00,nan,0.00,-0.69,nan,25.00,0.00,0.00,1.00,0.00,0.00
15207,0.00,nan,0.00,0.15,nan,25.00,0.00,0.00,1.00,0.00,0.00
15463,0.00,nan,0.00,-0.30,nan,25.00,0.00,0.00,1.00,0.00,0.00
15527,0.00,nan,0.00,0.16,nan,25.00,0.00,0.00,1.00,0.00,0.00
15783,0.00,nan,0.00,-1.10,nan,25.00,0.00,0.00,1.00,0.00,0.00
15847,0.00,nan,0.00,3.37,nan,25.00,0.00,0.00,1.00,0.00,0.00
15910,0.00,nan,0.00,4.33,nan,25.00,0.00,0.00,1.00,0.00,0.00
16166,0.00,nan,0.00,3.80,nan,25.00,0.00,0.00,1.00,0.00,0.00
16230,0.00,nan,0.00,2.15,nan,25.00,0.00,0.00,1.00,0.00,0.00
16486,0.00,nan,0.00,1.20,nan,25.00,0.00,0.00,1.00,0.00,0.00
16549,0.00,nan,0.00,0.92,nan,25.00,0.00,0.00,1.00,0.00,0.00
16613,0.00,nan,0.00,4.45,nan,25.00,0.00,0.00,1.00,0.00,0.00
16868,0.00,nan,0.00,0.80,nan,25.00,0.00,0.00,1.00,0.00,0.00
16931,0.00,nan,0.00,-0.40,nan,25.00,0.00,0.00,1.00,0.00,0.00
16996,0.00,nan,0.00,-1.75,nan,,0.00,0.00,1.00,0.00,0.00
17189,0.00,nan,0.00,-1.79,nan,25.00,0.00,0.00,1.00,0.00,0.00
17254,0.00,nan,0.00,-1.46,nan,25.00,0.00,0.00,1.00,0.00,0.00
17318,0.00,nan,0.00,11.60,nan,25.00,0.00,0.00,1.00,0.00,0.00
17574,0.00,nan,0.00,-9.46,nan,25.00,0.00,0.00,1.00,0.00,0.00
17639,0.00,nan,0.00,0.70,nan,25.00,0.00,0.00,1.00,0.00,0.00
17702,0.00,nan,0.00,0.47,nan,,0.00,0.00,1.00,0.00,0.00
17895,0.00,nan,0.00,-1.88,nan,25.00,0.00,0.00,1.00,0.00,0.00
17959,0.00,nan,0.00,1.63,nan,25.00,0.00,0.00,1.00,0.00,0.00
18023,0.00,nan,0.00,4.60,nan,25.00,0.00,0.00,1.00,0.00,0.00
2,0.00,nan,0.00,3.52,nan,25.00,0.00,0.00,1.00,0.00,0.00
12,0.00,nan,0.00,-15.76,nan,25.00,0.00,0.00,1.00,0.00,0.00
59,0.00,nan,0.00,-1.55,nan,25.00,0.00,0.00,1.00,0.00,0.00
120,0.00,nan,0.00,-2.13,nan,25.00,0.00,0.00,1.00,0.00,0.00
183,0.00,nan,0.00,-8.35,nan,25.00,0.00,0.00,1.00,0.00,0.00
245,0.00,nan,0.00,-1.87,nan,25.00,0.00,0.00,1.00,0.00,0.00
308,0.00,nan,0.00,-10.82,nan,25.00,0.00,0.00,1.00,0.00,0.00
371,0.00,nan,0.00,-3.08,nan,25.00,0.00,0.00,1.00,0.00,0.00
434,0.00,nan,0.00,-0.12,nan,25.00,0.00,0.00,1.00,0.00,0.00
496,0.00,nan,0.00,2.05,nan,25.00,0.00,0.00,1.00,0.00,0.00
558,0.00,nan,0.00,-0.49,nan,25.00,0.00,0.00,1.00,0.00,0.00
620,0.00,nan,0.00,3.75,nan,25.00,0.00,0.00,1.00,0.00,0.00
