time,x,theta,x_dot,theta_dot,input,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
288197,0.00,-8.73,0.00,0.25,-220.73,25.00,0.00,0.00,1.00,0.00,0.00
288268,0.00,-8.80,0.00,-1.30,-222.56,25.00,0.00,0.00,1.00,0.00,0.00
288339,0.00,-8.78,0.00,0.19,-221.93,25.00,0.00,0.00,1.00,0.00,0.00
288552,0.00,-8.78,0.00,0.31,-222.02,25.00,0.00,0.00,1.00,0.00,0.00
288624,0.00,-8.79,0.00,-0.25,-222.19,25.00,0.00,0.00,1.00,0.00,0.00
288696,0.00,-8.81,0.00,-0.59,-222.86,25.00,0.00,0.00,1.00,0.00,0.00
289124,0.00,-8.80,0.00,-0.31,-222.50,25.00,0.00,0.00,1.00,0.00,0.00
289196,0.00,-8.77,0.00,0.21,-221.72,25.00,0.00,0.00,1.00,0.00,0.00
289266,0.00,-8.79,0.00,-0.46,-222.14,25.00,0.00,0.00,1.00,0.00,0.00
289338,0.00,-8.82,0.00,-0.59,-222.97,25.00,0.00,0.00,1.00,0.00,0.00
289410,0.00,-8.77,0.00,0.39,-221.75,25.00,0.00,0.00,1.00,0.00,0.00
289695,0.00,-8.83,0.00,-0.47,-223.26,25.00,0.00,0.00,1.00,0.00,0.00
289767,0.00,-8.80,0.00,0.15,-222.59,25.00,0.00,0.00,1.00,0.00,0.00
289838,0.00,-8.83,0.00,-0.59,-223.22,25.00,0.00,0.00,1.00,0.00,0.00
289909,0.00,-8.83,0.00,-0.13,-223.15,25.00,0.00,0.00,1.00,0.00,0.00
290194,0.00,-8.85,0.00,-0.69,-223.79,25.00,0.00,0.00,1.00,0.00,0.00
290266,0.00,-8.84,0.00,-0.04,-223.46,25.00,0.00,0.00,1.00,0.00,0.00
290337,0.00,-8.81,0.00,0.16,-222.83,25.00,0.00,0.00,1.00,0.00,0.00
290408,0.00,-8.84,0.00,-0.49,-223.52,25.00,0.00,0.00,1.00,0.00,0.00
290480,0.00,-8.85,0.00,-0.40,-223.64,25.00,0.00,0.00,1.00,0.00,0.00
290695,0.00,-8.85,0.00,-0.33,-223.64,25.00,0.00,0.00,1.00,0.00,0.00
290766,0.00,-8.83,0.00,0.09,-223.18,25.00,0.00,0.00,1.00,0.00,0.00
290837,0.00,-8.85,0.00,-0.58,-223.72,25.00,0.00,0.00,1.00,0.00,0.00
291266,0.00,-8.89,0.00,-0.96,-224.75,25.00,0.00,0.00,1.00,0.00,0.00
291338,0.00,-8.81,0.00,0.86,-222.73,25.00,0.00,0.00,1.00,0.00,0.00
291408,0.00,-8.86,0.00,-0.95,-224.03,25.00,0.00,0.00,1.00,0.00,0.00
291480,0.00,-8.82,0.00,0.47,-222.96,25.00,0.00,0.00,1.00,0.00,0.00
291552,0.00,-8.86,0.00,-0.93,-224.09,25.00,0.00,0.00,1.00,0.00,0.00
291623,0.00,-8.82,0.00,0.37,-223.03,25.00,0.00,0.00,1.00,0.00,0.00
291694,0.00,-8.89,0.00,-1.11,-224.67,25.00,0.00,0.00,1.00,0.00,0.00
291980,0.00,-8.84,0.00,0.04,-223.46,25.00,0.00,0.00,1.00,0.00,0.00
292050,0.00,-8.83,0.00,-0.15,-223.37,25.00,0.00,0.00,1.00,0.00,0.00
292336,0.00,-8.85,0.00,-0.30,-223.72,25.00,0.00,0.00,1.00,0.00,0.00
292408,0.00,-8.81,0.00,0.38,-222.65,25.00,0.00,0.00,1.00,0.00,0.00
292478,0.00,-8.81,0.00,-0.26,-222.77,25.00,0.00,0.00,1.00,0.00,0.00
292551,0.00,-8.82,0.00,-0.29,-222.93,25.00,0.00,0.00,1.00,0.00,0.00
292623,0.00,-8.78,0.00,0.31,-222.11,25.00,0.00,0.00,1.00,0.00,0.00
292836,0.00,-8.80,0.00,-0.43,-222.45,25.00,0.00,0.00,1.00,0.00,0.00
