time,x,theta,x_dot,theta_dot,input,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos
8011,-0.04,-0.07,0.00,-5.20,-1.74,25.00,0.00,0.00,1.00,0.00,0.00
8080,-0.04,-0.33,0.00,-4.24,-8.15,25.00,0.00,0.00,1.00,0.00,0.00
8352,-0.04,-0.20,0.00,-1.54,-4.92,25.00,0.00,0.00,1.00,0.00,0.00
8421,-0.04,-0.32,0.00,-2.14,-7.99,25.00,0.00,0.00,1.00,0.00,0.00
8491,-0.04,-0.44,0.00,-1.73,-10.90,25.00,0.00,0.00,1.00,0.00,0.00
8560,-0.05,-0.22,0.00,2.95,5.60,25.00,0.00,0.00,1.00,0.00,0.00
8761,-0.05,0.54,0.00,4.47,13.54,25.00,0.00,0.00,1.00,0.00,0.00
8827,-0.05,0.76,0.00,2.80,18.97,25.00,0.00,0.00,1.00,0.00,0.00
8894,-0.04,-0.20,0.00,-14.07,-5.02,25.00,0.00,0.00,1.00,0.00,0.00
8964,-0.04,-0.44,0.00,6.67,11.80,25.00,0.00,0.00,1.00,0.00,0.00
9165,-0.04,0.07,0.00,-4.46,1.68,25.00,0.00,0.00,1.00,0.00,0.00
9232,-0.04,0.31,0.00,2.85,7.73,25.00,0.00,0.00,1.00,0.00,0.00
9297,-0.04,0.20,0.00,-2.33,5.08,25.00,0.00,0.00,1.00,0.00,0.00
9364,-0.03,0.15,0.00,-1.,7.88,25.00,0.00,0.00,1.00,0.00,0.00
9563,-0.03,0.57,0.00,3.37,14.13,25.00,0.00,0.00,1.00,0.00,0.00
9629,-0.02,0.85,0.00,3.75,21.27,25.00,0.00,0.00,1.00,0.00,0.00
9696,-0.01,0.47,0.00,-6.27,11.73,25.00,0.00,0.00,1.00,0.00,0.00
9961,0.01,-0.02,0.00,-11.08,-0.53,25.00,0.00,0.00,1.00,0.00,0.00
10030,0.01,0.10,0.00,2.73,2.48,25.00,0.00,0.00,1.00,0.00,0.00
10095,0.01,0.42,0.00,4.96,10.54,25.00,0.00,0.00,1.00,0.00,0.00
10162,0.02,0.46,0.00,0.15,11.56,25.0,0.00,0.00,1.00,0.00,0.00
10361,0.03,0.24,0.00,-0.82,6.07,25.00,0.00,0.00,1.00,0.00,0.00
10428,0.03,0.15,0.00,-1.97,3.79,25.00,0.00,0.00,1.00,0.00,0.00
10494,.03,-0.05,0.00,-1.74,-1.29,25.00,0.00,0.00,1.00,0.00,0.00
10696,0.03,-0.22,0.00,-2.80,-5.61,25.00,0.00,0.00,1.00,0.00,0.00
10765,0.03,-0.40,0.00,-3.14,-9.90,25.00,0.00,0.00,1.00,0.00,0.00
10833,0.03,-0.22,0.00,2.09,-5.51,25.00,0.00,0.00,1.00,0.00,0.00
11107,0.01,-0.28,0.00,3.44,-6.89,25.00,0.00,0.00,1.00,0.00,0.00
11174,0.01,-0.69,0.00,-6.49,-17.31,25.00,0.00,0.00,1.00,0.00,0.00
11244,0.00,-0.96,0.00,-5.73,-23.92,25.00,0.00,0.00,1.00,0.00,0.00
11452,-0.01,0.16,0.00,7.36,4.11,25.00,0.00,0.00,1.00,0.00,0.00
11518,-0.01,-0.20,0.00,-5.48,-5.10,25.00,0.00,0.00,1.00,0.00,0.00
11588,-0.01,-0.30,0.00,-2.68,-7.40,25.00,0.00,0.00,1.00,0.00,0.00
12002,-0.03,-0.15,0.00,-8.14,-3.71,25.00,0.00,0.00,1.00,0.00,0.00
12071,-0.03,0.04,0.00,2.42,0.93,25.00,0.00,0.00,1.00,0.00,0.00
